id,nom,type,siren,geo_mode,groupement_siren,departement_code,region_code,adresse,code_postal,ville,latitude,longitude,telephone,finess,finess_ej,categorie_finess,created_at,updated_at,created_by
cmkxaf63p002pltim8syd9j8k,ALEC Marseille Métropole,COMMUNAUTE_COMMUNES,,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:04.549,2026-01-28 00:29:04.549,
cmkxaf63w002vltimwvma2b00,La Rochelle,COMMUNAUTE_COMMUNES,,TERRITOIRE,,17,75,,,,,,,,,,2026-01-28 00:29:04.556,2026-01-28 00:29:04.556,
cmkxaf6420031ltim8cqn1n9y,MAPES,COMMUNAUTE_COMMUNES,,TERRITOIRE,,53,52,,,,,,,,,,2026-01-28 00:29:04.563,2026-01-28 00:29:04.563,
cmkxaf6490037ltim6rbnxhsr,SIECF,SYNDICAT_ENERGIE,,TERRITOIRE,,59,32,,,,,,,,,,2026-01-28 00:29:04.569,2026-01-28 00:29:04.569,
cmkxaf64e003bltim6cvzmkny,SICECO,SYNDICAT_ENERGIE,,TERRITOIRE,,21,27,,,,,,,,,,2026-01-28 00:29:04.575,2026-01-28 00:29:04.575,
cmkxaf64k003fltimczp6vt3y,SIDEC,SYNDICAT_ENERGIE,253901094,TERRITOIRE,,39,27,,,,,,,,,,2026-01-28 00:29:04.58,2026-01-30 14:07:51.059,
cmkxaf64p003jltimbogpbabb,SE60,SYNDICAT_ENERGIE,,TERRITOIRE,,60,32,,,,,,,,,,2026-01-28 00:29:04.586,2026-01-28 00:29:04.586,
cmkxaf64v003nltimkchktnw3,Métropole Européenne de Lille,COMMUNAUTE_COMMUNES,200093201,TERRITOIRE,,59,32,,,,,,,,,,2026-01-28 00:29:04.592,2026-01-30 14:07:27.336,
cmkxaf654003tltimuvbacs2m,Pays des Chateaux,COMMUNAUTE_COMMUNES,254103237,TERRITOIRE,,41,24,,,,,,,,,,2026-01-28 00:29:04.601,2026-01-30 14:07:33.28,
cmkxaf65b003xltimm4kohdku,Laval Agglomération,SYNDICAT_ENERGIE,200083392,TERRITOIRE,,53,52,,,,,,,,,,2026-01-28 00:29:04.607,2026-01-30 14:07:18.974,
cmkxaf65h0041ltime4j0rzlq,CHU NANTES / MAPES,COMMUNAUTE_COMMUNES,,TERRITOIRE,,44,52,,,,,,,,,,2026-01-28 00:29:04.613,2026-01-28 00:29:04.613,
cmkxaf65q0047ltimkg8aa9h7,Métropole Rouen Normandie,COMMUNAUTE_COMMUNES,,TERRITOIRE,,76,28,,,,,,,,,,2026-01-28 00:29:04.622,2026-01-28 00:29:04.622,
cmkxaf65v004bltimcyk7txv2,Métropole de Bordeaux,COMMUNAUTE_COMMUNES,,TERRITOIRE,,33,75,,,,,,,,,,2026-01-28 00:29:04.627,2026-01-28 00:29:04.627,
cmkxaf664004fltimy6v3vggg,CA Paris-Saclay,COMMUNAUTE_COMMUNES,,TERRITOIRE,,91,11,,,,,,,,,,2026-01-28 00:29:04.636,2026-01-28 00:29:04.636,
cmkxaf66c004jltimm91xcwmc,SDEER 17,SYNDICAT_ENERGIE,,TERRITOIRE,,17,75,,,,,,,,,,2026-01-28 00:29:04.644,2026-01-28 00:29:04.644,
cmkxaf66n004nltimz9iehmda,CD Hautes-Pyrénées,COMMUNAUTE_COMMUNES,,TERRITOIRE,,65,76,,,,,,,,,,2026-01-28 00:29:04.655,2026-01-28 00:29:04.655,
cmkxaf67a004vltimppnl9zux,groupement Occitanie,SYNDICAT_ENERGIE,,TERRITOIRE,,31,76,,,,,,,,,,2026-01-28 00:29:04.679,2026-01-28 00:29:04.679,
cmkxaf67l004zltimr2xgwnnp,Mairie de Léguevin,COMMUNAUTE_COMMUNES,,TERRITOIRE,,31,76,,,,,,,,,,2026-01-28 00:29:04.69,2026-01-28 00:29:04.69,
cmkxaf6850055ltimwhbq4vwc,RESAH,COMMUNAUTE_COMMUNES,,TERRITOIRE,,77,11,,,,,,,,,,2026-01-28 00:29:04.71,2026-01-28 00:29:04.71,
cmkxaf68o005bltimxqyijbpt,TE 38,SYNDICAT_ENERGIE,,TERRITOIRE,,38,84,,,,,,,,,,2026-01-28 00:29:04.728,2026-01-28 00:29:04.728,
cmkxaf690005fltimw29joftf,Ville d'Annecy,COMMUNAUTE_COMMUNES,,TERRITOIRE,,74,84,,,,,,,,,,2026-01-28 00:29:04.74,2026-01-28 00:29:04.74,
cmkxaf69j005lltim6yi5eak7,Grand Perigueux,COMMUNAUTE_COMMUNES,200040392,TERRITOIRE,,24,75,,,,,,,,,,2026-01-28 00:29:04.759,2026-01-30 14:07:14.932,
cmkxaf69v005pltim8jneg796,Caux Seine Agglo,COMMUNAUTE_COMMUNES,200010700,TERRITOIRE,,76,28,,,,,,,,,,2026-01-28 00:29:04.771,2026-01-30 14:06:13.859,
cmkxaf6a6005tltim003g3din,CD 77,COMMUNAUTE_COMMUNES,,TERRITOIRE,,77,11,,,,,,,,,,2026-01-28 00:29:04.783,2026-01-28 00:29:04.783,
cmkxaf6af005xltimve2n4a66,MONTPELLIER,COMMUNAUTE_COMMUNES,,TERRITOIRE,,34,76,,,,,,,,,,2026-01-28 00:29:04.792,2026-01-28 00:29:04.792,
cmkxaf6ar0061ltimm9f0zfnh,CA DU COTENTIN,COMMUNAUTE_COMMUNES,200067205,TERRITOIRE,,50,28,,,,,,,,,,2026-01-28 00:29:04.803,2026-01-30 14:06:09.362,
cmkxaf6b40065ltimqerz36ry,CA Val de Garonne,COMMUNAUTE_COMMUNES,200030674,TERRITOIRE,,47,75,,,,,,,,,,2026-01-28 00:29:04.816,2026-01-30 14:06:14.167,
cmkxaf6bh0069ltimibzl0a77,SPL Loire-Atlantique Développement,COMMUNAUTE_COMMUNES,,TERRITOIRE,,44,52,,,,,,,,,,2026-01-28 00:29:04.829,2026-01-28 00:29:04.829,
cmkxaf6bo006dltimw7mddait,NANTES METROPOLE,COMMUNAUTE_COMMUNES,244400404,TERRITOIRE,,44,52,,,,,,,,,,2026-01-28 00:29:04.837,2026-01-30 14:07:31.435,
cmkxaf6bv006hltimhb3z9hih,CH le Vinatier,COMMUNAUTE_COMMUNES,266900163,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:04.843,2026-01-30 14:22:26.996,
cmkxaf6c0006lltimaxgwzyic,Syndicat Intercommunal d'Énergie de Maine et Loire (SIEML),SYNDICAT_ENERGIE,,TERRITOIRE,,49,52,,,,,,,,,,2026-01-28 00:29:04.849,2026-01-28 00:29:04.849,
cmkxaf6c7006pltimpj0p3249,SYDEV,COMMUNAUTE_COMMUNES,,TERRITOIRE,,85,52,,,,,,,,,,2026-01-28 00:29:04.856,2026-01-28 00:29:04.856,
cmkxaf6ce006tltimo4omrfun,CD 89,COMMUNAUTE_COMMUNES,,TERRITOIRE,,89,27,,,,,,,,,,2026-01-28 00:29:04.863,2026-01-28 00:29:04.863,
cmkxaf6cl006xltim4v2uyw4v,COMMUNAUTE DE COMMUNES DU PAYS DE CHATEAU GONTIER,COMMUNAUTE_COMMUNES,245300447,TERRITOIRE,,53,52,,,,,,,,,,2026-01-28 00:29:04.869,2026-01-30 14:22:28.431,
cmkxaf6cs0071ltim9uxpns5g,GOSB,COMMUNAUTE_COMMUNES,,TERRITOIRE,,94,11,,,,,,,,,,2026-01-28 00:29:04.876,2026-01-28 00:29:04.876,
cmkxaf6cz0075ltima0uekumj,ENERGIE EURE-ET-LOIR,SYNDICAT_ENERGIE,,TERRITOIRE,,37,24,,,,,,,,,,2026-01-28 00:29:04.883,2026-01-28 00:29:04.883,
cmkxaf6da007bltim1ulibdv0,SDE 24,SYNDICAT_ENERGIE,,TERRITOIRE,,24,75,,,,,,,,,,2026-01-28 00:29:04.894,2026-01-28 00:29:04.894,
cmkxaf6dk007hltimxhur3e6h,CARENE - Saint-Nazaire Agglo,COMMUNAUTE_COMMUNES,,TERRITOIRE,,44,52,,,,,,,,,,2026-01-28 00:29:04.905,2026-01-28 00:29:04.905,
cmkxaf6dt007lltim2xz1145u,PNR Grands Causses,COMMUNAUTE_COMMUNES,,TERRITOIRE,,12,76,,,,,,,,,,2026-01-28 00:29:04.914,2026-01-28 00:29:04.914,
cmkxaf6e1007pltimysjr4sjw,SYDELA,SYNDICAT_ENERGIE,,TERRITOIRE,,44,52,,,,,,,,,,2026-01-28 00:29:04.921,2026-01-28 00:29:04.921,
cmkxaf6e9007vltimngt7taes,Syndicat Mixte du Pays Vallée de la Sarthe,COMMUNAUTE_COMMUNES,200001873,TERRITOIRE,,72,52,,,,,,,,,,2026-01-28 00:29:04.929,2026-01-30 14:22:29.344,
cmkxaf6eg007zltimaihegtrn,SDEC 23,SYNDICAT_ENERGIE,,TERRITOIRE,,23,75,,,,,,,,,,2026-01-28 00:29:04.936,2026-01-28 00:29:04.936,
cmkxaf6ep0085ltim6hskvlp9,CHU Lyon,COMMUNAUTE_COMMUNES,263100023,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:04.945,2026-01-30 14:22:27.2,
cmkxaf6eu0089ltimmbt34xpu,SDEEG 33,SYNDICAT_ENERGIE,,TERRITOIRE,,33,75,,,,,,,,,,2026-01-28 00:29:04.951,2026-01-28 00:29:04.951,
cmkxaf6f1008dltimn9hbhk4u,ALEC Lyon,ALEC,449015437,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:04.957,2026-01-30 14:22:26.161,
cmkxaf6f8008hltim18etn38c,SDEPA,SYNDICAT_ENERGIE,,TERRITOIRE,,64,75,,,,,,,,,,2026-01-28 00:29:04.964,2026-01-28 00:29:04.964,
cmkxaf6ff008lltim98gjiu5c,Amiens Métropole,COMMUNAUTE_COMMUNES,248000531,TERRITOIRE,,80,32,,,,,,,,,,2026-01-28 00:29:04.971,2026-01-30 14:06:04.957,
cmkxaf6fm008pltim7e9ibous,Caen La mer,COMMUNAUTE_COMMUNES,200065597,TERRITOIRE,,14,28,,,,,,,,,,2026-01-28 00:29:04.978,2026-01-30 14:06:09.658,
cmkxaf6ft008tltime89an0qm,La CoVe,COMMUNAUTE_COMMUNES,,TERRITOIRE,,84,93,,,,,,,,,,2026-01-28 00:29:04.985,2026-01-28 00:29:04.985,
cmkxaf6g0008xltimf0pil8hn,SDE 07,SYNDICAT_ENERGIE,,TERRITOIRE,,07,84,,,,,,,,,,2026-01-28 00:29:04.992,2026-01-28 00:29:04.992,
cmkxaf6gf0093ltim25xba4rw,"SYNDICAT MIXTE DU SCoT BASSIN D'AURILLAC, CARLADES ET CHATAIGNERAIE",COMMUNAUTE_COMMUNES,,TERRITOIRE,,15,84,,,,,,,,,,2026-01-28 00:29:05.007,2026-01-28 00:29:05.007,
cmkxaf6gz009dltimpgdkp80h,Caen La mer,SYNDICAT_ENERGIE,,TERRITOIRE,,14,28,,,,,,,,,,2026-01-28 00:29:05.027,2026-01-28 00:29:05.027,
cmkxaf6h6009hltimq2p7nn85,SDEF,SYNDICAT_ENERGIE,,TERRITOIRE,,29,53,,,,,,,,,,2026-01-28 00:29:05.035,2026-01-28 00:29:05.035,
cmkxaf6hf009lltimxd7fcrnp,Syndicat Mixte du Pays des Châteaux,COMMUNAUTE_COMMUNES,,TERRITOIRE,,41,24,,,,,,,,,,2026-01-28 00:29:05.044,2026-01-28 00:29:05.044,
cmkxaf6hp009rltimmfm8enjp,Métropole de Lyon,SYNDICAT_ENERGIE,,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:05.054,2026-01-28 00:29:05.054,
cmkxaf6i3009zltimh2sek23c,SDEE 48,SYNDICAT_ENERGIE,,TERRITOIRE,,48,76,,,,,,,,,,2026-01-28 00:29:05.067,2026-01-28 00:29:05.067,
cmkxaf6ia00a3ltimfrk6w9wu,Sanary sur Mer,COMMUNAUTE_COMMUNES,,TERRITOIRE,,83,93,,,,,,,,,,2026-01-28 00:29:05.074,2026-01-28 00:29:05.074,
cmkxaf6ig00a7ltimooneuia6,Ville de Vannes,COMMUNAUTE_COMMUNES,,TERRITOIRE,,56,53,,,,,,,,,,2026-01-28 00:29:05.081,2026-01-28 00:29:05.081,
cmkxaf6im00abltimiyoyjfub,Vitré,COMMUNAUTE_COMMUNES,,TERRITOIRE,,35,53,,,,,,,,,,2026-01-28 00:29:05.086,2026-01-28 00:29:05.086,
cmkxaf6ir00afltim1j2ygj74,SDEE 47,SYNDICAT_ENERGIE,,TERRITOIRE,,47,75,,,,,,,,,,2026-01-28 00:29:05.091,2026-01-28 00:29:05.091,
cmkxaf6ix00ajltimnjinx1kw,Mairie de Montceau les Mines,COMMUNAUTE_COMMUNES,,TERRITOIRE,,71,27,,,,,,,,,,2026-01-28 00:29:05.097,2026-01-28 00:29:05.097,
cmkxaf6j900apltimmtdjfo02,CD 76,COMMUNAUTE_COMMUNES,,TERRITOIRE,,76,28,,,,,,,,,,2026-01-28 00:29:05.109,2026-01-28 00:29:05.109,
cmkxaf6jj00atltimjcikydup,SDE 76,SYNDICAT_ENERGIE,,TERRITOIRE,,76,28,,,,,,,,,,2026-01-28 00:29:05.118,2026-01-28 00:29:05.118,
cmkxaf6kb00b5ltim79p6ty68,SDEI 36,SYNDICAT_ENERGIE,,TERRITOIRE,,28,24,,,,,,,,,,2026-01-28 00:29:05.148,2026-01-28 00:29:05.148,
cmkxaf6ki00b9ltimi71b3vgp,CD63,COMMUNAUTE_COMMUNES,,TERRITOIRE,,63,84,,,,,,,,,,2026-01-28 00:29:05.154,2026-01-28 00:29:05.154,
cmkxaf6kn00bdltim3mwbzj05,CD63,ALEC,,TERRITOIRE,,63,84,,,,,,,,,,2026-01-28 00:29:05.16,2026-01-28 00:29:05.16,
cmkxaf6kt00bhltimq5g4zvgy,CPIE Pays d'Aix,COMMUNAUTE_COMMUNES,,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:05.166,2026-01-28 00:29:05.166,
cmkxaf6l100blltim1rybchhj,SMED 13,SYNDICAT_ENERGIE,,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:05.173,2026-01-28 00:29:05.173,
cmkxaf6l700bpltimfg6yix3g,SEHV,SYNDICAT_ENERGIE,257604009,TERRITOIRE,,87,75,,,,,,,,,,2026-01-28 00:29:05.18,2026-01-30 14:07:49.753,
cmkxaf6lm00bxltimb9pcu5i9,Métropole de Lyon,ALEC,,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:05.194,2026-01-28 00:29:05.194,
cmkxaf6lu00c1ltim6etdnd5a,POLE ENERGIE BOURGOGNE-FRANCHE-COMTE,COMMUNAUTE_COMMUNES,,TERRITOIRE,,70,27,,,,,,,,,,2026-01-28 00:29:05.202,2026-01-28 00:29:05.202,
cmkxaf6m300c5ltimfmsci485,CD 15,COMMUNAUTE_COMMUNES,,TERRITOIRE,,15,84,,,,,,,,,,2026-01-28 00:29:05.211,2026-01-28 00:29:05.211,
cmkxaf6mc00c9ltim6mtk9jqd,CD 73,COMMUNAUTE_COMMUNES,,TERRITOIRE,,74,84,,,,,,,,,,2026-01-28 00:29:05.221,2026-01-28 00:29:05.221,
cmkxaf6mi00cdltim370p8r36,SYDEC 40,SYNDICAT_ENERGIE,,TERRITOIRE,,40,75,,,,,,,,,,2026-01-28 00:29:05.227,2026-01-28 00:29:05.227,
cmkxaf6mo00chltimq15zijrj,ALEC SOLEVAL,ALEC,802314347,TERRITOIRE,,31,76,,,,,,,,,,2026-01-28 00:29:05.233,2026-01-30 14:22:26.365,
cmkxaf6mv00clltimoyhmm65f,Aix Marseille Provence,COMMUNAUTE_COMMUNES,,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:05.239,2026-01-28 00:29:05.239,
cmkxaf6n600ctltiml3d62opw,Morbihan Energies,SYNDICAT_ENERGIE,,TERRITOIRE,,56,53,,,,,,,,,,2026-01-28 00:29:05.251,2026-01-28 00:29:05.251,
cmkxaf6ng00czltim4ormyev1,FDEL/TE46,SYNDICAT_ENERGIE,,TERRITOIRE,,46,76,,,,,,,,,,2026-01-28 00:29:05.26,2026-01-28 00:29:05.26,
cmkxaf6nx00d7ltim6iasa5rx,CD 64,COMMUNAUTE_COMMUNES,,TERRITOIRE,,64,75,,,,,,,,,,2026-01-28 00:29:05.277,2026-01-28 00:29:05.277,
cmkxaf6o800ddltim49hdlxzd,Conseil Départemental Loire,SYNDICAT_ENERGIE,,TERRITOIRE,,42,84,,,,,,,,,,2026-01-28 00:29:05.288,2026-01-28 00:29:05.288,
cmkxaf6od00dhltimxpimqss2,Pôle d'Equilibre Territorial et Rural du Pays Sud Toulousain,COMMUNAUTE_COMMUNES,,TERRITOIRE,,31,76,,,,,,,,,,2026-01-28 00:29:05.293,2026-01-28 00:29:05.293,
cmkxaf6oj00dlltimk76ffuiv,SDET/TE81,SYNDICAT_ENERGIE,,TERRITOIRE,,81,76,,,,,,,,,,2026-01-28 00:29:05.299,2026-01-28 00:29:05.299,
cmkxaf6p300dtltimek89s77b,CD 16,COMMUNAUTE_COMMUNES,,TERRITOIRE,,16,75,,,,,,,,,,2026-01-28 00:29:05.319,2026-01-28 00:29:05.319,
cmkxaf6pc00dzltimkot31pr3,DEPARTEMENT DE L AIN,COMMUNAUTE_COMMUNES,,TERRITOIRE,,01,84,,,,,,,,,,2026-01-28 00:29:05.329,2026-01-28 00:29:05.329,
cmkxaf6pi00e3ltim7tsim2p5,CD 05,SYNDICAT_ENERGIE,,TERRITOIRE,,05,93,,,,,,,,,,2026-01-28 00:29:05.334,2026-01-28 00:29:05.334,
cmkxaf6pn00e7ltimef9hqcbl,SIEDA,SYNDICAT_ENERGIE,200052090,TERRITOIRE,,12,76,,,,,,,,,,2026-01-28 00:29:05.339,2026-01-30 14:07:52.867,
cmkxaf6pv00edltimaw2cyivq,SYNDICAT DEPARTEMENTAL D'ENERGIE DES COTES D'ARMOR,SYNDICAT_ENERGIE,,TERRITOIRE,,35,53,,,,,,,,,,2026-01-28 00:29:05.347,2026-01-28 00:29:05.347,
cmkxaf6qm00erltimgf5pabil,CD 05,COMMUNAUTE_COMMUNES,,TERRITOIRE,,05,93,,,,,,,,,,2026-01-28 00:29:05.375,2026-01-28 00:29:05.375,
cmkxaf6qt00evltimfgnpgxpt,SM DU PAYS DU MANS,SYNDICAT_ENERGIE,200078426,TERRITOIRE,,72,52,,,,,,,,,,2026-01-28 00:29:05.382,2026-01-30 14:07:56.174,
cmkxaf6qz00ezltimzszj50zl,Métropole d'Aix Marseille Provence,COMMUNAUTE_COMMUNES,,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:05.387,2026-01-28 00:29:05.387,
cmkxaf6r500f3ltim8qf5l3k7,CD 63,ALEC,,TERRITOIRE,,63,84,,,,,,,,,,2026-01-28 00:29:05.393,2026-01-28 00:29:05.393,
cmkxaf6ra00f7ltim7j8vnzbp,SDED,SYNDICAT_ENERGIE,251002531,TERRITOIRE,,26,84,,,,,,,,,,2026-01-28 00:29:05.399,2026-01-30 14:07:43.565,
cmkxaf6rp00fhltimnhoev98z,SYDEC,SYNDICAT_ENERGIE,254001399,TERRITOIRE,,33,75,,,,,,,,,,2026-01-28 00:29:05.413,2026-01-30 14:07:57.563,
cmkxaf6rv00flltim0mmsz3a3,Syndicat Audois d'Energie et du Numérique (Syaden 11),SYNDICAT_ENERGIE,,TERRITOIRE,,11,76,,,,,,,,,,2026-01-28 00:29:05.419,2026-01-28 00:29:05.419,
cmkxaf6s500frltimfv7h92py,Syndicat d'Energie du département de l'Hérault (Hérault Energies 34),SYNDICAT_ENERGIE,,TERRITOIRE,,34,76,,,,,,,,,,2026-01-28 00:29:05.429,2026-01-28 00:29:05.429,
cmkxaf6sa00fvltimc368z5qy,CA Paris Vallée de la Marne,COMMUNAUTE_COMMUNES,,TERRITOIRE,,77,11,,,,,,,,,,2026-01-28 00:29:05.435,2026-01-28 00:29:05.435,
cmkxaf6sj00g1ltimhrmzdn1g,Syndicat Départemental de l'Ariège (SDE 09),SYNDICAT_ENERGIE,,TERRITOIRE,,09,76,,,,,,,,,,2026-01-28 00:29:05.443,2026-01-28 00:29:05.443,
cmkxaf6so00g5ltim36hfgwjn,SIGERLY,SYNDICAT_ENERGIE,,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:05.448,2026-01-28 00:29:05.448,
cmkxaf6t600gfltimmcw0r7h0,Commune de Val-Couesnon,COMMUNAUTE_COMMUNES,,TERRITOIRE,,35,53,,,,,,,,,,2026-01-28 00:29:05.466,2026-01-28 00:29:05.466,
cmkxaf6tj00glltimw02hu5mh,Métropole d'Aix Marseille Provence,ALEC,,TERRITOIRE,,13,93,,,,,,,,,,2026-01-28 00:29:05.479,2026-01-28 00:29:05.479,
cmkxaf6tq00gpltima92n87ds,PETR Vallée de la Sarthe,COMMUNAUTE_COMMUNES,,TERRITOIRE,,72,52,,,,,,,,,,2026-01-28 00:29:05.486,2026-01-28 00:29:05.486,
cmkxaf6u300gxltim9gahw4vl,Syndicat départemental de l'Energie et de l'Electricité (Sydeel 66),SYNDICAT_ENERGIE,,TERRITOIRE,,66,76,,,,,,,,,,2026-01-28 00:29:05.499,2026-01-28 00:29:05.499,
cmkxaf6ub00h1ltim7e9y5yro,Syndicat Départemental d'Energie des Hautes-Pyrénées (SDE65),SYNDICAT_ENERGIE,,TERRITOIRE,,65,76,,,,,,,,,,2026-01-28 00:29:05.507,2026-01-28 00:29:05.507,
cmkxaf6uh00h5ltim6eqrwwso,SM DU PAYS DU MANS,COMMUNAUTE_COMMUNES,,TERRITOIRE,,72,52,,,,,,,,,,2026-01-28 00:29:05.513,2026-01-28 00:29:05.513,
cmkxaf6um00h9ltimr1f53rbs,CCSB,COMMUNAUTE_COMMUNES,,TERRITOIRE,,69,84,,,,,,,,,,2026-01-28 00:29:05.518,2026-01-28 00:29:05.518,
cmkxaf6ux00hfltimexo1ofce,CH Niort,COMMUNAUTE_COMMUNES,,TERRITOIRE,,33,75,,,,,,,,,,2026-01-28 00:29:05.529,2026-01-28 00:29:05.529,
cmkxaf6vc00hpltim665udj1x,Région Bretagne,COMMUNAUTE_COMMUNES,,TERRITOIRE,,29,53,,,,,,,,,,2026-01-28 00:29:05.545,2026-01-28 00:29:05.545,
cmkxaf6vi00htltimd8bnyu1v,CHU Niort,COMMUNAUTE_COMMUNES,267900045,TERRITOIRE,,64,75,,,,,,,,,,2026-01-28 00:29:05.55,2026-01-30 14:22:27.404,
cmkxaf6vt00hzltimpbute1qf,Loire-Authion,COMMUNAUTE_COMMUNES,,TERRITOIRE,,49,52,,,,,,,,,,2026-01-28 00:29:05.561,2026-01-28 00:29:05.561,
cmkxaf6w600i7ltimjg6o6och,CD 46,COMMUNAUTE_COMMUNES,,TERRITOIRE,,46,76,,,,,,,,,,2026-01-28 00:29:05.574,2026-01-28 00:29:05.574,
cmkxaf6wt00illtimniv0bbkm,SDE76,SYNDICAT_ENERGIE,,TERRITOIRE,,76,28,,,,,,,,,,2026-01-28 00:29:05.598,2026-01-28 00:29:05.598,
